1,694,Carlton Tiano,4,White Bed Clothes,Bed,Internet Banking,7,29.99,2021-05-06 15:34:53,Slovenia,Amazon,64538,Y,
2,144,Robert Walker,4,White Bed Clothes,Bed,Google Pay,1,29.99,2014-09-16 17:15:02,Russia,Home Depot,64539,Y,
3,591,Consuelo Laduke,0,Clay Plant Pot,"Pot, Plants",PayPal,6,9.99,2019-11-28 00:03:22,Madagascar,Walmart,64540,Y,
4,504,Lillian Vanochten,13,Wooden outdoor slats,"Wood, Garden",Internet Banking,0,25.99,2015-04-11 01:42:20,India,Home Depot,64541,Y,
5,688,Todd Mcnab,11,Biodegradable cardboard pots,"Garden, Plants",Google Pay,2,10.0,2021-09-17 19:45:45,India,Lowes,64542,Y,
6,293,Charlotte Withers,17,Vanilla candle,Candle,Google Pay,4,15.99,2020-07-18 14:21:53,Portugal,eBay,64543,Y,
7,476,Hannah Mcdaniel,8,White Ceramic Pot,"Pot, Plants",Internet Banking,8,15.99,2017-09-17 12:00:55,India,Amazon,64544,Y,
8,342,Katherine Reese,14,Wooden Fence,"Garden, Wood",Internet Banking,5,200.0,2016-07-14 06:04:27,United States,Lowes,64545,Y,
9,640,Manuel Mcmillan,17,Vanilla candle,Candle,PayPal,0,15.99,2014-12-01 05:54:04,Canada,eBay,64546,Y,
10,562,Arthur Hull,14,Wooden Fence,"Garden, Wood",PayPal,6,200.0,2020-09-09 01:04:42,United Kingdom,Home Depot,64547,Y,
11,944,Gregory Lafferty,6,Wooden Outdoor Table,"Wood, Garden",Google Pay,9,99.99,2023-06-07 10:56:26,United States,eBay,64548,Y,
12,408,Paul Davis,11,Biodegradable cardboard pots,"Garden, Plants",PayPal,1,10.0,2022-06-08 18:28:52,India,Lowes,64549,Y,
13,557,Douglas Simpson,1,Copper Light,"Copper, Bedroom",PayPal,2,59.99,2017-11-10 01:21:31,Philippines,Amazon,64550,Y,
14,884,Sonja Urey,18,Black Beanbag,"Black, Leather",Card,3,69.99,2022-03-24 01:59:55,Italy,Walmart,64551,Y,
